[1] "Mergesort Data"
            n s keyComparison runtime
1        1000 1          8716     184
100      1000 1          8702     179
199      1000 1          8715     240
298     10000 1        120495    2111
397     10000 1        120409    2153
496     10000 1        120426    2384
595    100000 1       1536138   26350
694    100000 1       1536283   14169
793    100000 1       1536637   14506
892   1000000 1      18674843  299297
991   1000000 1      18673949  159451
1090  1000000 1      18674269  161779
1189 10000000 1     220101607 2232365
1288 10000000 1     220100316 1859487
1387 10000000 1     220101272 1836752
[1] "Hybridsort Data"
            n s keyComparison runtime
6        1000 6          8755     150
105      1000 6          8771     143
204      1000 6          8791     203
303     10000 6        121602    1799
402     10000 6        121534    1801
501     10000 6        121454    1793
600    100000 6       1554656   22860
699    100000 6       1554842   11541
798    100000 6       1554603   11577
897   1000000 6      18727814  142435
996   1000000 6      18726992  141887
1095  1000000 6      18728487  166613
1194 10000000 6     221108580 1701996
1293 10000000 6     221109274 1729758
1392 10000000 6     221106165 1638449
