n,s,keyComparison,runtime
1000,32,13265,111
1000,32,13381,112
1000,32,13569,114
1778,32,23939,210
1778,32,24025,144
1778,32,24272,142
3161,32,43385,272
3161,32,43529,268
3161,32,43559,416
5621,32,78922,508
5621,32,78006,713
5621,32,78691,579
9995,32,143134,941
9995,32,143392,943
9995,32,143183,937
17773,32,262070,2180
17773,32,262522,1707
17773,32,262618,1830
31605,32,578714,3592
31605,32,577624,3674
31605,32,577320,3505
56202,32,1033789,6334
56202,32,1034323,6366
56202,32,1034560,6349
99942,32,1860359,11784
99942,32,1860273,17576
99942,32,1860062,11719
177723,32,3362013,28181
177723,32,3362678,21979
177723,32,3361113,21890
316039,32,6096007,54896
316039,32,6098288,52308
316039,32,6095696,49954
562002,32,11083402,75697
562002,32,11087551,97516
562002,32,11084917,73919
999391,32,23169261,183324
999391,32,23174242,145529
999391,32,23164196,148669
1777187,32,41434987,270842
1777187,32,41441316,266489
1777187,32,41432042,275135
3160318,32,74395972,617266
3160318,32,74392355,612740
3160318,32,74392831,485662
5619898,32,134032324,1720461
5619898,32,134041241,888041
5619898,32,134024297,885110
9993696,32,242115501,1630324
9993696,32,242149980,1666495
9993696,32,242143181,2049024
