n,s,keyComparison,runtime
1000,1,8716,184
1000,2,8716,199
1000,3,8717,240
1000,4,8755,157
1000,5,8755,150
1000,6,8755,150
1000,7,8798,217
1000,8,9165,148
1000,9,9165,143
1000,10,9165,135
1000,11,9165,196
1000,12,9165,192
1000,13,9165,194
1000,14,9165,193
1000,15,9568,204
1000,16,10243,144
1000,17,10243,139
1000,18,10243,191
1000,19,10243,187
1000,20,10243,193
1000,21,10243,140
1000,22,10243,191
1000,23,10243,139
1000,24,10243,217
1000,25,10243,135
1000,26,10243,145
1000,27,10243,196
1000,28,10243,205
1000,29,10243,194
1000,30,10243,151
1000,31,12574,189
1000,32,13283,159
1000,33,13283,149
1000,34,13283,153
1000,35,13283,156
1000,36,13283,220
1000,37,13283,230
1000,38,13283,230
1000,39,13283,157
1000,40,13283,156
1000,41,13283,151
1000,42,13283,157
1000,43,13283,219
1000,44,13283,227
1000,45,13283,223
1000,46,13283,221
1000,47,13283,156
1000,48,13283,150
1000,49,13283,227
1000,50,13283,166
1000,51,13283,160
1000,52,13283,153
1000,53,13283,221
1000,54,13283,160
1000,55,13283,222
1000,56,13283,223
1000,57,13283,153
1000,58,13283,221
1000,59,13283,165
1000,60,13283,232
1000,61,13283,226
1000,62,16427,258
1000,63,19891,196
1000,64,19891,293
1000,65,19891,196
1000,66,19891,295
1000,67,19891,304
1000,68,19891,196
1000,69,19891,302
1000,70,19891,200
1000,71,19891,195
1000,72,19891,209
1000,73,19891,301
1000,74,19891,307
1000,75,19891,300
1000,76,19891,267
1000,77,19891,207
1000,78,19891,294
1000,79,19891,196
1000,80,19891,298
1000,81,19891,304
1000,82,19891,303
1000,83,19891,191
1000,84,19891,196
1000,85,19891,194
1000,86,19891,254
1000,87,19891,195
1000,88,19891,307
1000,89,19891,195
1000,90,19891,190
1000,91,19891,193
1000,92,19891,301
1000,93,19891,331
1000,94,19891,299
1000,95,19891,205
1000,96,19891,196
1000,97,19891,301
1000,98,19891,191
1000,99,19891,307
1000,1,8702,179
1000,2,8702,156
1000,3,8700,163
1000,4,8771,220
1000,5,8771,147
1000,6,8771,143
1000,7,8790,151
1000,8,9087,139
1000,9,9087,137
1000,10,9087,198
1000,11,9087,144
1000,12,9087,136
1000,13,9087,142
1000,14,9087,137
1000,15,9465,202
1000,16,10253,196
1000,17,10253,193
1000,18,10253,142
1000,19,10253,203
1000,20,10253,207
1000,21,10253,155
1000,22,10253,146
1000,23,10253,198
1000,24,10253,144
1000,25,10253,192
1000,26,10253,201
1000,27,10253,194
1000,28,10253,210
1000,29,10253,156
1000,30,10253,195
1000,31,12404,217
1000,32,13067,219
1000,33,13067,158
1000,34,13067,220
1000,35,13067,222
1000,36,13067,156
1000,37,13067,219
1000,38,13067,219
1000,39,13067,222
1000,40,13067,148
1000,41,13067,224
1000,42,13067,154
1000,43,13067,163
1000,44,13067,235
1000,45,13067,221
1000,46,13067,159
1000,47,13067,155
1000,48,13067,227
1000,49,13067,152
1000,50,13067,223
1000,51,13067,223
1000,52,13067,216
1000,53,13067,240
1000,54,13067,147
1000,55,13067,168
1000,56,13067,219
1000,57,13067,222
1000,58,13067,218
1000,59,13067,150
1000,60,13067,150
1000,61,13067,150
1000,62,16436,176
1000,63,19794,303
1000,64,19794,304
1000,65,19794,198
1000,66,19794,201
1000,67,19794,196
1000,68,19794,190
1000,69,19794,294
1000,70,19794,241
1000,71,19794,197
1000,72,19794,196
1000,73,19794,197
1000,74,19794,305
1000,75,19794,300
1000,76,19794,307
1000,77,19794,297
1000,78,19794,191
1000,79,19794,297
1000,80,19794,193
1000,81,19794,293
1000,82,19794,300
1000,83,19794,194
1000,84,19794,191
1000,85,19794,193
1000,86,19794,302
1000,87,19794,253
1000,88,19794,295
1000,89,19794,192
1000,90,19794,200
1000,91,19794,191
1000,92,19794,293
1000,93,19794,301
1000,94,19794,305
1000,95,19794,199
1000,96,19794,189
1000,97,19794,189
1000,98,19794,198
1000,99,19794,297
1000,1,8715,240
1000,2,8715,221
1000,3,8716,183
1000,4,8791,145
1000,5,8791,146
1000,6,8791,203
1000,7,8861,139
1000,8,9133,138
1000,9,9133,201
1000,10,9133,136
1000,11,9133,193
1000,12,9133,134
1000,13,9133,199
1000,14,9133,171
1000,15,9592,142
1000,16,10386,201
1000,17,10386,197
1000,18,10386,150
1000,19,10386,136
1000,20,10386,137
1000,21,10386,198
1000,22,10386,162
1000,23,10386,206
1000,24,10386,144
1000,25,10386,143
1000,26,10386,140
1000,27,10386,197
1000,28,10386,203
1000,29,10386,199
1000,30,10386,193
1000,31,12769,219
1000,32,13752,163
1000,33,13752,231
1000,34,13752,226
1000,35,13752,159
1000,36,13752,154
1000,37,13752,160
1000,38,13752,233
1000,39,13752,164
1000,40,13752,238
1000,41,13752,228
1000,42,13752,170
1000,43,13752,154
1000,44,13752,229
1000,45,13752,158
1000,46,13752,157
1000,47,13752,228
1000,48,13752,233
1000,49,13752,155
1000,50,13752,227
1000,51,13752,229
1000,52,13752,239
1000,53,13752,229
1000,54,13752,151
1000,55,13752,227
1000,56,13752,155
1000,57,13752,163
1000,58,13752,233
1000,59,13752,160
1000,60,13752,228
1000,61,13752,166
1000,62,16958,262
1000,63,20149,205
1000,64,20149,200
1000,65,20149,208
1000,66,20149,306
1000,67,20149,311
1000,68,20149,195
1000,69,20149,194
1000,70,20149,195
1000,71,20149,301
1000,72,20149,306
1000,73,20149,202
1000,74,20149,193
1000,75,20149,203
1000,76,20149,315
1000,77,20149,305
1000,78,20149,198
1000,79,20149,192
1000,80,20149,303
1000,81,20149,192
1000,82,20149,193
1000,83,20149,309
1000,84,20149,298
1000,85,20149,203
1000,86,20149,313
1000,87,20149,303
1000,88,20149,193
1000,89,20149,313
1000,90,20149,210
1000,91,20149,303
1000,92,20149,199
1000,93,20149,310
1000,94,20149,303
1000,95,20149,195
1000,96,20149,329
1000,97,20149,203
1000,98,20149,312
1000,99,20149,195
10000,1,120495,2111
10000,2,120495,1960
10000,3,120465,2017
10000,4,120485,1996
10000,5,121602,1792
10000,6,121602,1799
10000,7,121602,1773
10000,8,121602,1807
10000,9,122643,1785
10000,10,127284,1848
10000,11,127284,1743
10000,12,127284,1787
10000,13,127284,1759
10000,14,127284,1763
10000,15,127284,1763
10000,16,127284,1767
10000,17,127284,1872
10000,18,127284,1795
10000,19,134732,1851
10000,20,143901,1882
10000,21,143901,1823
